
2021-01-19T21:09:22.882668,26,thermometer,processed
2021-01-19T21:09:22.882668,26,thermometer,processed
2021-01-19T21:09:22.882876,26,thermometer,detected
2021-01-19T21:09:22.883373,26,thermometer,persisted
2021-01-19T21:09:23.083036,26,thermometer,persisted
2021-01-19T21:09:23.283051,26,thermometer,persisted
2021-01-19T21:09:23.483152,26,thermometer,persisted
2021-01-19T21:09:23.683253,26,thermometer,persisted
2021-01-19T21:09:23.883254,26,thermometer,persisted
2021-01-19T21:09:24.083391,26,thermometer,persisted
2021-01-19T21:09:24.283475,26,thermometer,persisted
2021-01-19T21:09:24.483353,28,ecg,processed
2021-01-19T21:09:24.483353,28,ecg,processed
2021-01-19T21:09:24.483576,28,ecg,detected
2021-01-19T21:09:24.484042,28,ecg,persisted
2021-01-19T21:09:24.683576,28,ecg,persisted
2021-01-19T21:09:24.883865,28,ecg,persisted
2021-01-19T21:09:25.083971,28,ecg,persisted
2021-01-19T21:09:25.283632,29,oximeter,processed
2021-01-19T21:09:25.283632,29,oximeter,processed
2021-01-19T21:09:25.283849,29,oximeter,detected
2021-01-19T21:09:25.284160,29,oximeter,persisted
2021-01-19T21:09:25.483768,29,ecg,processed
2021-01-19T21:09:25.483768,29,ecg,processed
2021-01-19T21:09:25.483995,29,ecg,detected
2021-01-19T21:09:25.484354,29,ecg,persisted
2021-01-19T21:09:25.684050,29,ecg,persisted
2021-01-19T21:09:25.883909,29,thermometer,processed
2021-01-19T21:09:25.883909,29,thermometer,processed
2021-01-19T21:09:25.884131,29,thermometer,detected
2021-01-19T21:09:25.884396,29,thermometer,persisted
2021-01-19T21:09:26.084533,29,thermometer,persisted
2021-01-19T21:09:26.284159,30,oximeter,processed
2021-01-19T21:09:26.284159,30,oximeter,processed
2021-01-19T21:09:26.284394,30,oximeter,detected
2021-01-19T21:09:26.284885,30,oximeter,persisted
2021-01-19T21:09:26.484126,30,ecg,processed
2021-01-19T21:09:26.484126,30,ecg,processed
2021-01-19T21:09:26.484364,30,ecg,detected
2021-01-19T21:09:26.484660,30,ecg,persisted
2021-01-19T21:09:26.684638,30,ecg,persisted
2021-01-19T21:09:26.884310,30,thermometer,processed
2021-01-19T21:09:26.884310,30,thermometer,processed
2021-01-19T21:09:26.884529,30,thermometer,detected
2021-01-19T21:09:26.885000,30,thermometer,persisted
2021-01-19T21:09:27.084862,30,thermometer,persisted
2021-01-19T21:09:27.284485,31,oximeter,processed
2021-01-19T21:09:27.284485,31,oximeter,processed
2021-01-19T21:09:27.284688,31,oximeter,detected
2021-01-19T21:09:27.285164,31,oximeter,persisted
2021-01-19T21:09:27.484602,31,ecg,processed
2021-01-19T21:09:27.484602,31,ecg,processed
2021-01-19T21:09:27.484832,31,ecg,detected
2021-01-19T21:09:27.485276,31,ecg,persisted
2021-01-19T21:09:27.684951,31,ecg,persisted
2021-01-19T21:09:27.885133,31,ecg,persisted
2021-01-19T21:09:28.084989,31,ecg,persisted
2021-01-19T21:09:28.284903,32,oximeter,processed
2021-01-19T21:09:28.284903,32,oximeter,processed
2021-01-19T21:09:28.285142,32,oximeter,detected
2021-01-19T21:09:28.285490,32,oximeter,persisted
2021-01-19T21:09:28.485037,32,ecg,processed
2021-01-19T21:09:28.485037,32,ecg,processed
2021-01-19T21:09:28.485255,32,ecg,detected
2021-01-19T21:09:28.485556,32,ecg,persisted
2021-01-19T21:09:28.685403,32,ecg,persisted
2021-01-19T21:09:28.885567,32,ecg,persisted
2021-01-19T21:09:29.085541,32,ecg,persisted
2021-01-19T21:09:29.285327,33,oximeter,processed
2021-01-19T21:09:29.285327,33,oximeter,processed
2021-01-19T21:09:29.285575,33,oximeter,detected
2021-01-19T21:09:29.285856,33,oximeter,persisted
2021-01-19T21:09:29.485711,33,oximeter,persisted
2021-01-19T21:09:29.685757,33,oximeter,persisted
2021-01-19T21:09:29.885715,33,oximeter,persisted
2021-01-19T21:09:30.086388,33,oximeter,persisted
2021-01-19T21:09:30.285978,33,oximeter,persisted
2021-01-19T21:09:30.486222,33,oximeter,persisted
2021-01-19T21:09:30.686304,33,oximeter,persisted
2021-01-19T21:09:30.886157,33,oximeter,persisted
2021-01-19T21:09:31.086309,33,oximeter,persisted
2021-01-19T21:09:31.286165,35,oximeter,processed
2021-01-19T21:09:31.286165,35,oximeter,processed
2021-01-19T21:09:31.286397,35,oximeter,detected
2021-01-19T21:09:31.286688,35,oximeter,persisted
2021-01-19T21:09:31.486645,35,oximeter,persisted
2021-01-19T21:09:31.686522,35,oximeter,persisted
2021-01-19T21:09:31.886702,35,oximeter,persisted
2021-01-19T21:09:32.086534,35,oximeter,persisted
